시장명,도로명주소,위도,경도
대정오일시장,제주특별자치도 서귀포시 대정읍 신영로36번길 65,,
모슬포중앙시장,제주특별자치도 서귀포시 대정읍 상모로 327,,
서귀포향토오일시장,제주특별자치도 서귀포시 토평서로11번길 142,,
서귀포매일올레시장,제주특별자치도 서귀포시 중앙로 62번길 18,,
고성오일시장,제주특별자치도 서귀포시 성산읍 고성오조로 93,,
중문오일시장,제주특별자치도 서귀포시 서귀포시 천제연로188번길 12,,
표선오일시장,제주특별자치도 서귀포시 표선면 표선동서로 203-1,,
세화오일시장,제주특별자치도 제주시 구좌읍 해맞이해안로 1412,,
도남시장,제주특별자치도 제주시 도남동 923의 13,,
제주시민속오일시장,제주특별자치도 제주시 오일장서길 26,,
제주시서문공설시장,제주특별자치도 제주시 서문로4길 13-2,,
제주동문수산시장,제주특별자치도 제주시 오현길 81,,
제주시동문재래시장,제주특별자치도 제주시 관덕로14길 20,,
보성시장,제주특별자치도 제주시 동광로 1길 32,,
중앙로상점가,제주특별자치도 제주시 이도일동 중앙로 91,,
제주시동문공설시장,제주특별자치도 제주시 동문로 4길9,,
동문시장(주),제주특별자치도 제주시 동문로 16,,
제주칠성로상점가(칠성로상점가),제주특별자치도 제주시 관덕로 13길 12,,
신산시장,제주특별자치도 제주시 고마로17길 11,,
함덕오일시장,제주특별자치도 제주시 조천읍 함덕16길 15-13,,
한림민속오일시장(한림오일시장),제주특별자치도 제주시 한림읍 한수풀로4길 10,,
한림매일시장,제주특별자치도 제주시 한림읍 한림로 681,,
화북종합시장,제주특별자치도 제주시 청풍길 14,,
